divergenceBps,closesGap,sizeBps,score,trust,fee
0,0,0,0,0,3000
0,0,0,0,1,3000
0,0,0,0,5000,1750
0,0,0,0,9999,501
0,0,0,0,10000,500
0,0,0,1,0,3002
0,0,0,1,1,3002
0,0,0,1,5000,1752
0,0,0,1,9999,503
0,0,0,1,10000,502
0,0,0,2499,0,9997
0,0,0,2499,1,9997
0,0,0,2499,5000,8747
0,0,0,2499,9999,7498
0,0,0,2499,10000,7497
0,0,0,7500,0,40000
0,0,0,7500,1,40000
0,0,0,7500,5000,38750
0,0,0,7500,9999,37501
0,0,0,7500,10000,37500
0,0,0,10000,0,100000
0,0,0,10000,1,100000
0,0,0,10000,5000,98750
0,0,0,10000,9999,97501
0,0,0,10000,10000,97500
0,0,50,0,0,3000
0,0,50,0,1,3000
0,0,50,0,5000,1750
0,0,50,0,9999,501
0,0,50,0,10000,500
0,0,50,1,0,3002
0,0,50,1,1,3002
0,0,50,1,5000,1752
0,0,50,1,9999,503
0,0,50,1,10000,502
0,0,50,2499,0,9997
0,0,50,2499,1,9997
0,0,50,2499,5000,8747
0,0,50,2499,9999,7498
0,0,50,2499,10000,7497
0,0,50,7500,0,40000
0,0,50,7500,1,40000
0,0,50,7500,5000,38750
0,0,50,7500,9999,37501
0,0,50,7500,10000,37500
0,0,50,10000,0,100000
0,0,50,10000,1,100000
0,0,50,10000,5000,98750
0,0,50,10000,9999,97501
0,0,50,10000,10000,97500
0,0,51,0,0,3040
0,0,51,0,1,3000
0,0,51,0,5000,1750
0,0,51,0,9999,501
0,0,51,0,10000,500
0,0,51,1,0,3042
0,0,51,1,1,3002
0,0,51,1,5000,1752
0,0,51,1,9999,503
0,0,51,1,10000,502
0,0,51,2499,0,10037
0,0,51,2499,1,9997
0,0,51,2499,5000,8747
0,0,51,2499,9999,7498
0,0,51,2499,10000,7497
0,0,51,7500,0,40040
0,0,51,7500,1,40000
0,0,51,7500,5000,38750
0,0,51,7500,9999,37501
0,0,51,7500,10000,37500
0,0,51,10000,0,100000
0,0,51,10000,1,100000
0,0,51,10000,5000,98750
0,0,51,10000,9999,97501
0,0,51,10000,10000,97500
0,0,500,0,0,21000
0,0,500,0,1,3000
0,0,500,0,5000,1750
0,0,500,0,9999,501
0,0,500,0,10000,500
0,0,500,1,0,21002
0,0,500,1,1,3002
0,0,500,1,5000,1752
0,0,500,1,9999,503
0,0,500,1,10000,502
0,0,500,2499,0,27997
0,0,500,2499,1,9997
0,0,500,2499,5000,8747
0,0,500,2499,9999,7498
0,0,500,2499,10000,7497
0,0,500,7500,0,58000
0,0,500,7500,1,40000
0,0,500,7500,5000,38750
0,0,500,7500,9999,37501
0,0,500,7500,10000,37500
0,0,500,10000,0,100000
0,0,500,10000,1,100000
0,0,500,10000,5000,98750
0,0,500,10000,9999,97501
0,0,500,10000,10000,97500
0,0,100000,0,0,23000
0,0,100000,0,1,3000
0,0,100000,0,5000,1750
0,0,100000,0,9999,501
0,0,100000,0,10000,500
0,0,100000,1,0,23002
0,0,100000,1,1,3002
0,0,100000,1,5000,1752
0,0,100000,1,9999,503
0,0,100000,1,10000,502
0,0,100000,2499,0,29997
0,0,100000,2499,1,9997
0,0,100000,2499,5000,8747
0,0,100000,2499,9999,7498
0,0,100000,2499,10000,7497
0,0,100000,7500,0,60000
0,0,100000,7500,1,40000
0,0,100000,7500,5000,38750
0,0,100000,7500,9999,37501
0,0,100000,7500,10000,37500
0,0,100000,10000,0,100000
0,0,100000,10000,1,100000
0,0,100000,10000,5000,98750
0,0,100000,10000,9999,97501
0,0,100000,10000,10000,97500
0,1,0,0,0,3000
0,1,0,0,1,3000
0,1,0,0,5000,1750
0,1,0,0,9999,501
0,1,0,0,10000,500
0,1,0,1,0,3002
0,1,0,1,1,3002
0,1,0,1,5000,1752
0,1,0,1,9999,503
0,1,0,1,10000,502
0,1,0,2499,0,9997
0,1,0,2499,1,9997
0,1,0,2499,5000,8747
0,1,0,2499,9999,7498
0,1,0,2499,10000,7497
0,1,0,7500,0,40000
0,1,0,7500,1,40000
0,1,0,7500,5000,38750
0,1,0,7500,9999,37501
0,1,0,7500,10000,37500
0,1,0,10000,0,100000
0,1,0,10000,1,100000
0,1,0,10000,5000,98750
0,1,0,10000,9999,97501
0,1,0,10000,10000,97500
0,1,50,0,0,3000
0,1,50,0,1,3000
0,1,50,0,5000,1750
0,1,50,0,9999,501
0,1,50,0,10000,500
0,1,50,1,0,3002
0,1,50,1,1,3002
0,1,50,1,5000,1752
0,1,50,1,9999,503
0,1,50,1,10000,502
0,1,50,2499,0,9997
0,1,50,2499,1,9997
0,1,50,2499,5000,8747
0,1,50,2499,9999,7498
0,1,50,2499,10000,7497
0,1,50,7500,0,40000
0,1,50,7500,1,40000
0,1,50,7500,5000,38750
0,1,50,7500,9999,37501
0,1,50,7500,10000,37500
0,1,50,10000,0,100000
0,1,50,10000,1,100000
0,1,50,10000,5000,98750
0,1,50,10000,9999,97501
0,1,50,10000,10000,97500
0,1,51,0,0,3040
0,1,51,0,1,3000
0,1,51,0,5000,1750
0,1,51,0,9999,501
0,1,51,0,10000,500
0,1,51,1,0,3042
0,1,51,1,1,3002
0,1,51,1,5000,1752
0,1,51,1,9999,503
0,1,51,1,10000,502
0,1,51,2499,0,10037
0,1,51,2499,1,9997
0,1,51,2499,5000,8747
0,1,51,2499,9999,7498
0,1,51,2499,10000,7497
0,1,51,7500,0,40040
0,1,51,7500,1,40000
0,1,51,7500,5000,38750
0,1,51,7500,9999,37501
0,1,51,7500,10000,37500
0,1,51,10000,0,100000
0,1,51,10000,1,100000
0,1,51,10000,5000,98750
0,1,51,10000,9999,97501
0,1,51,10000,10000,97500
0,1,500,0,0,21000
0,1,500,0,1,3000
0,1,500,0,5000,1750
0,1,500,0,9999,501
0,1,500,0,10000,500
0,1,500,1,0,21002
0,1,500,1,1,3002
0,1,500,1,5000,1752
0,1,500,1,9999,503
0,1,500,1,10000,502
0,1,500,2499,0,27997
0,1,500,2499,1,9997
0,1,500,2499,5000,8747
0,1,500,2499,9999,7498
0,1,500,2499,10000,7497
0,1,500,7500,0,58000
0,1,500,7500,1,40000
0,1,500,7500,5000,38750
0,1,500,7500,9999,37501
0,1,500,7500,10000,37500
0,1,500,10000,0,100000
0,1,500,10000,1,100000
0,1,500,10000,5000,98750
0,1,500,10000,9999,97501
0,1,500,10000,10000,97500
0,1,100000,0,0,23000
0,1,100000,0,1,3000
0,1,100000,0,5000,1750
0,1,100000,0,9999,501
0,1,100000,0,10000,500
0,1,100000,1,0,23002
0,1,100000,1,1,3002
0,1,100000,1,5000,1752
0,1,100000,1,9999,503
0,1,100000,1,10000,502
0,1,100000,2499,0,29997
0,1,100000,2499,1,9997
0,1,100000,2499,5000,8747
0,1,100000,2499,9999,7498
0,1,100000,2499,10000,7497
0,1,100000,7500,0,60000
0,1,100000,7500,1,40000
0,1,100000,7500,5000,38750
0,1,100000,7500,9999,37501
0,1,100000,7500,10000,37500
0,1,100000,10000,0,100000
0,1,100000,10000,1,100000
0,1,100000,10000,5000,98750
0,1,100000,10000,9999,97501
0,1,100000,10000,10000,97500
10,0,0,0,0,3000
10,0,0,0,1,3000
10,0,0,0,5000,1750
10,0,0,0,9999,501
10,0,0,0,10000,500
10,0,0,1,0,3002
10,0,0,1,1,3002
10,0,0,1,5000,1752
